digrp_pavadinimas,data2,dinst_id4,apskritis1,savivaldybe,data1,dinst_id5
Kitas švietimo teikėjas,,,Kauno apskr.,Kaišiadorių r. sav.,2012-09-01,-
Kompetencijų vertinimo institucija,,,Kauno apskr.,Kaišiadorių r. sav.,2012-09-01,-
Mokslinių tyrimų institutas,,,Kauno apskr.,Kaišiadorių r. sav.,2012-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Kauno apskr.,Kaišiadorių r. sav.,2012-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Kauno apskr.,Kaišiadorių r. sav.,2012-09-01,2
Profesinio mokymo įstaiga,,,Kauno apskr.,Kaišiadorių r. sav.,2012-09-01,1
Švietimo pagalbos įstaiga,,,Kauno apskr.,Kaišiadorių r. sav.,2012-09-01,2
Aukštoji mokykla,,,Kauno apskr.,Kaišiadorių r. sav.,2013-09-01,-
Bendrojo ugdymo mokykla,,,Kauno apskr.,Kaišiadorių r. sav.,2013-09-01,16
Ikimokyklinio ugdymo mokykla,,,Kauno apskr.,Kaišiadorių r. sav.,2013-09-01,7
Kitas švietimo teikėjas,,,Kauno apskr.,Kaišiadorių r. sav.,2013-09-01,-
Kompetencijų vertinimo institucija,,,Kauno apskr.,Kaišiadorių r. sav.,2013-09-01,-
Mokslinių tyrimų institutas,,,Kauno apskr.,Kaišiadorių r. sav.,2013-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Kauno apskr.,Kaišiadorių r. sav.,2013-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Kauno apskr.,Kaišiadorių r. sav.,2013-09-01,2
Profesinio mokymo įstaiga,,,Kauno apskr.,Kaišiadorių r. sav.,2013-09-01,1
Švietimo pagalbos įstaiga,,,Kauno apskr.,Kaišiadorių r. sav.,2013-09-01,2
Aukštoji mokykla,,,Kauno apskr.,Kaišiadorių r. sav.,2014-09-01,-
Bendrojo ugdymo mokykla,,,Kauno apskr.,Kaišiadorių r. sav.,2014-09-01,16
Ikimokyklinio ugdymo mokykla,,,Kauno apskr.,Kaišiadorių r. sav.,2014-09-01,7
Kitas švietimo teikėjas,,,Kauno apskr.,Kaišiadorių r. sav.,2014-09-01,-
Kompetencijų vertinimo institucija,,,Kauno apskr.,Kaišiadorių r. sav.,2014-09-01,-
Mokslinių tyrimų institutas,,,Kauno apskr.,Kaišiadorių r. sav.,2014-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Kauno apskr.,Kaišiadorių r. sav.,2014-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Kauno apskr.,Kaišiadorių r. sav.,2014-09-01,2
Profesinio mokymo įstaiga,,,Kauno apskr.,Kaišiadorių r. sav.,2014-09-01,1
Švietimo pagalbos įstaiga,,,Kauno apskr.,Kaišiadorių r. sav.,2014-09-01,2
Aukštoji mokykla,,,Kauno apskr.,Kaišiadorių r. sav.,2015-09-01,-
Bendrojo ugdymo mokykla,,,Kauno apskr.,Kaišiadorių r. sav.,2015-09-01,15
Ikimokyklinio ugdymo mokykla,,,Kauno apskr.,Kaišiadorių r. sav.,2015-09-01,7
Kitas švietimo teikėjas,,,Kauno apskr.,Kaišiadorių r. sav.,2015-09-01,-
Kompetencijų vertinimo institucija,,,Kauno apskr.,Kaišiadorių r. sav.,2015-09-01,-
Mokslinių tyrimų institutas,,,Kauno apskr.,Kaišiadorių r. sav.,2015-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Kauno apskr.,Kaišiadorių r. sav.,2015-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Kauno apskr.,Kaišiadorių r. sav.,2015-09-01,2
Profesinio mokymo įstaiga,,,Kauno apskr.,Kaišiadorių r. sav.,2015-09-01,1
Švietimo pagalbos įstaiga,,,Kauno apskr.,Kaišiadorių r. sav.,2015-09-01,2
Aukštoji mokykla,,,Kauno apskr.,Kaišiadorių r. sav.,2016-09-01,-
Bendrojo ugdymo mokykla,,,Kauno apskr.,Kaišiadorių r. sav.,2016-09-01,15
Ikimokyklinio ugdymo mokykla,,,Kauno apskr.,Kaišiadorių r. sav.,2016-09-01,7
Kitas švietimo teikėjas,,,Kauno apskr.,Kaišiadorių r. sav.,2016-09-01,5
Kompetencijų vertinimo institucija,,,Kauno apskr.,Kaišiadorių r. sav.,2016-09-01,-
Mokslinių tyrimų institutas,,,Kauno apskr.,Kaišiadorių r. sav.,2016-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Kauno apskr.,Kaišiadorių r. sav.,2016-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Kauno apskr.,Kaišiadorių r. sav.,2016-09-01,2
Profesinio mokymo įstaiga,,,Kauno apskr.,Kaišiadorių r. sav.,2016-09-01,1
Švietimo pagalbos įstaiga,,,Kauno apskr.,Kaišiadorių r. sav.,2016-09-01,2
Aukštoji mokykla,,,Kauno apskr.,Kaišiadorių r. sav.,2017-09-01,-
Bendrojo ugdymo mokykla,,,Kauno apskr.,Kaišiadorių r. sav.,2017-09-01,15
Ikimokyklinio ugdymo mokykla,,,Kauno apskr.,Kaišiadorių r. sav.,2017-09-01,7
Kitas švietimo teikėjas,,,Kauno apskr.,Kaišiadorių r. sav.,2017-09-01,5
Kompetencijų vertinimo institucija,,,Kauno apskr.,Kaišiadorių r. sav.,2017-09-01,-
Mokslinių tyrimų institutas,,,Kauno apskr.,Kaišiadorių r. sav.,2017-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Kauno apskr.,Kaišiadorių r. sav.,2017-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Kauno apskr.,Kaišiadorių r. sav.,2017-09-01,2
Profesinio mokymo įstaiga,,,Kauno apskr.,Kaišiadorių r. sav.,2017-09-01,1
Švietimo pagalbos įstaiga,,,Kauno apskr.,Kaišiadorių r. sav.,2017-09-01,2
Aukštoji mokykla,,,Kauno apskr.,Kauno m. sav.,2003-09-01,10
Bendrojo ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2003-09-01,20
Ikimokyklinio ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2003-09-01,-
Kitas švietimo teikėjas,,,Kauno apskr.,Kauno m. sav.,2003-09-01,-
Kompetencijų vertinimo institucija,,,Kauno apskr.,Kauno m. sav.,2003-09-01,-
Mokslinių tyrimų institutas,,,Kauno apskr.,Kauno m. sav.,2003-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Kauno apskr.,Kauno m. sav.,2003-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2003-09-01,10
Profesinio mokymo įstaiga,,,Kauno apskr.,Kauno m. sav.,2003-09-01,13
Švietimo pagalbos įstaiga,,,Kauno apskr.,Kauno m. sav.,2003-09-01,-
Aukštoji mokykla,,,Kauno apskr.,Kauno m. sav.,2004-09-01,10
Bendrojo ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2004-09-01,99
Ikimokyklinio ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2004-09-01,-
Kitas švietimo teikėjas,,,Kauno apskr.,Kauno m. sav.,2004-09-01,-
Kompetencijų vertinimo institucija,,,Kauno apskr.,Kauno m. sav.,2004-09-01,-
Mokslinių tyrimų institutas,,,Kauno apskr.,Kauno m. sav.,2004-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Kauno apskr.,Kauno m. sav.,2004-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2004-09-01,106
Profesinio mokymo įstaiga,,,Kauno apskr.,Kauno m. sav.,2004-09-01,13
Švietimo pagalbos įstaiga,,,Kauno apskr.,Kauno m. sav.,2004-09-01,-
Aukštoji mokykla,,,Kauno apskr.,Kauno m. sav.,2005-09-01,10
Bendrojo ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2005-09-01,99
Ikimokyklinio ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2005-09-01,-
Kitas švietimo teikėjas,,,Kauno apskr.,Kauno m. sav.,2005-09-01,-
Kompetencijų vertinimo institucija,,,Kauno apskr.,Kauno m. sav.,2005-09-01,-
Mokslinių tyrimų institutas,,,Kauno apskr.,Kauno m. sav.,2005-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Kauno apskr.,Kauno m. sav.,2005-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2005-09-01,107
Profesinio mokymo įstaiga,,,Kauno apskr.,Kauno m. sav.,2005-09-01,13
Švietimo pagalbos įstaiga,,,Kauno apskr.,Kauno m. sav.,2005-09-01,-
Aukštoji mokykla,,,Kauno apskr.,Kauno m. sav.,2006-09-01,10
Bendrojo ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2006-09-01,98
Ikimokyklinio ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2006-09-01,-
Kitas švietimo teikėjas,,,Kauno apskr.,Kauno m. sav.,2006-09-01,-
Kompetencijų vertinimo institucija,,,Kauno apskr.,Kauno m. sav.,2006-09-01,-
Mokslinių tyrimų institutas,,,Kauno apskr.,Kauno m. sav.,2006-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Kauno apskr.,Kauno m. sav.,2006-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2006-09-01,106
Profesinio mokymo įstaiga,,,Kauno apskr.,Kauno m. sav.,2006-09-01,13
Švietimo pagalbos įstaiga,,,Kauno apskr.,Kauno m. sav.,2006-09-01,3
Aukštoji mokykla,,,Kauno apskr.,Kauno m. sav.,2007-09-01,10
Bendrojo ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2007-09-01,98
Ikimokyklinio ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2007-09-01,-
Kitas švietimo teikėjas,,,Kauno apskr.,Kauno m. sav.,2007-09-01,-
Kompetencijų vertinimo institucija,,,Kauno apskr.,Kauno m. sav.,2007-09-01,-
Mokslinių tyrimų institutas,,,Kauno apskr.,Kauno m. sav.,2007-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Kauno apskr.,Kauno m. sav.,2007-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2007-09-01,106
Profesinio mokymo įstaiga,,,Kauno apskr.,Kauno m. sav.,2007-09-01,13
Švietimo pagalbos įstaiga,,,Kauno apskr.,Kauno m. sav.,2007-09-01,3
Aukštoji mokykla,,,Kauno apskr.,Kauno m. sav.,2008-09-01,10
Bendrojo ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2008-09-01,93
Ikimokyklinio ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2008-09-01,-
Kitas švietimo teikėjas,,,Kauno apskr.,Kauno m. sav.,2008-09-01,-
Kompetencijų vertinimo institucija,,,Kauno apskr.,Kauno m. sav.,2008-09-01,-
Mokslinių tyrimų institutas,,,Kauno apskr.,Kauno m. sav.,2008-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Kauno apskr.,Kauno m. sav.,2008-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2008-09-01,110
Profesinio mokymo įstaiga,,,Kauno apskr.,Kauno m. sav.,2008-09-01,14
Švietimo pagalbos įstaiga,,,Kauno apskr.,Kauno m. sav.,2008-09-01,3
Aukštoji mokykla,,,Kauno apskr.,Kauno m. sav.,2009-09-01,9
Bendrojo ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2009-09-01,91
Ikimokyklinio ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2009-09-01,-
Kitas švietimo teikėjas,,,Kauno apskr.,Kauno m. sav.,2009-09-01,-
Kompetencijų vertinimo institucija,,,Kauno apskr.,Kauno m. sav.,2009-09-01,-
Mokslinių tyrimų institutas,,,Kauno apskr.,Kauno m. sav.,2009-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Kauno apskr.,Kauno m. sav.,2009-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2009-09-01,110
Profesinio mokymo įstaiga,,,Kauno apskr.,Kauno m. sav.,2009-09-01,14
Švietimo pagalbos įstaiga,,,Kauno apskr.,Kauno m. sav.,2009-09-01,3
Aukštoji mokykla,,,Kauno apskr.,Kauno m. sav.,2010-09-01,9
Bendrojo ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2010-09-01,90
Ikimokyklinio ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2010-09-01,-
Kitas švietimo teikėjas,,,Kauno apskr.,Kauno m. sav.,2010-09-01,-
Kompetencijų vertinimo institucija,,,Kauno apskr.,Kauno m. sav.,2010-09-01,-
Mokslinių tyrimų institutas,,,Kauno apskr.,Kauno m. sav.,2010-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Kauno apskr.,Kauno m. sav.,2010-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2010-09-01,110
Profesinio mokymo įstaiga,,,Kauno apskr.,Kauno m. sav.,2010-09-01,14
Švietimo pagalbos įstaiga,,,Kauno apskr.,Kauno m. sav.,2010-09-01,3
Aukštoji mokykla,,,Kauno apskr.,Kauno m. sav.,2011-09-01,9
Bendrojo ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2011-09-01,90
Ikimokyklinio ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2011-09-01,83
Kitas švietimo teikėjas,,,Kauno apskr.,Kauno m. sav.,2011-09-01,-
Kompetencijų vertinimo institucija,,,Kauno apskr.,Kauno m. sav.,2011-09-01,-
Mokslinių tyrimų institutas,,,Kauno apskr.,Kauno m. sav.,2011-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Kauno apskr.,Kauno m. sav.,2011-09-01,1
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2011-09-01,29
Profesinio mokymo įstaiga,,,Kauno apskr.,Kauno m. sav.,2011-09-01,12
Švietimo pagalbos įstaiga,,,Kauno apskr.,Kauno m. sav.,2011-09-01,4
Aukštoji mokykla,,,Kauno apskr.,Kauno m. sav.,2012-09-01,9
Bendrojo ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2012-09-01,88
Ikimokyklinio ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2012-09-01,89
Kitas švietimo teikėjas,,,Kauno apskr.,Kauno m. sav.,2012-09-01,2
Kompetencijų vertinimo institucija,,,Kauno apskr.,Kauno m. sav.,2012-09-01,-
Mokslinių tyrimų institutas,,,Kauno apskr.,Kauno m. sav.,2012-09-01,1
Neformaliojo suaugusiųjų švietimo mokykla,,,Kauno apskr.,Kauno m. sav.,2012-09-01,2
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2012-09-01,31
Profesinio mokymo įstaiga,,,Kauno apskr.,Kauno m. sav.,2012-09-01,12
Švietimo pagalbos įstaiga,,,Kauno apskr.,Kauno m. sav.,2012-09-01,3
Aukštoji mokykla,,,Kauno apskr.,Kauno m. sav.,2013-09-01,9
Bendrojo ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2013-09-01,88
Ikimokyklinio ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2013-09-01,90
Kitas švietimo teikėjas,,,Kauno apskr.,Kauno m. sav.,2013-09-01,38
Kompetencijų vertinimo institucija,,,Kauno apskr.,Kauno m. sav.,2013-09-01,2
Mokslinių tyrimų institutas,,,Kauno apskr.,Kauno m. sav.,2013-09-01,1
Neformaliojo suaugusiųjų švietimo mokykla,,,Kauno apskr.,Kauno m. sav.,2013-09-01,2
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2013-09-01,34
Profesinio mokymo įstaiga,,,Kauno apskr.,Kauno m. sav.,2013-09-01,13
Švietimo pagalbos įstaiga,,,Kauno apskr.,Kauno m. sav.,2013-09-01,3
Aukštoji mokykla,,,Kauno apskr.,Kauno m. sav.,2014-09-01,9
Bendrojo ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2014-09-01,86
Ikimokyklinio ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2014-09-01,93
Kitas švietimo teikėjas,,,Kauno apskr.,Kauno m. sav.,2014-09-01,43
Kompetencijų vertinimo institucija,,,Kauno apskr.,Kauno m. sav.,2014-09-01,1
Mokslinių tyrimų institutas,,,Kauno apskr.,Kauno m. sav.,2014-09-01,1
Neformaliojo suaugusiųjų švietimo mokykla,,,Kauno apskr.,Kauno m. sav.,2014-09-01,2
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2014-09-01,36
Profesinio mokymo įstaiga,,,Kauno apskr.,Kauno m. sav.,2014-09-01,12
Švietimo pagalbos įstaiga,,,Kauno apskr.,Kauno m. sav.,2014-09-01,3
Aukštoji mokykla,,,Kauno apskr.,Kauno m. sav.,2015-09-01,9
Bendrojo ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2015-09-01,85
Ikimokyklinio ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2015-09-01,98
Kitas švietimo teikėjas,,,Kauno apskr.,Kauno m. sav.,2015-09-01,56
Kompetencijų vertinimo institucija,,,Kauno apskr.,Kauno m. sav.,2015-09-01,1
Mokslinių tyrimų institutas,,,Kauno apskr.,Kauno m. sav.,2015-09-01,1
Neformaliojo suaugusiųjų švietimo mokykla,,,Kauno apskr.,Kauno m. sav.,2015-09-01,2
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2015-09-01,39
Profesinio mokymo įstaiga,,,Kauno apskr.,Kauno m. sav.,2015-09-01,12
Švietimo pagalbos įstaiga,,,Kauno apskr.,Kauno m. sav.,2015-09-01,3
Aukštoji mokykla,,,Kauno apskr.,Kauno m. sav.,2016-09-01,9
Bendrojo ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2016-09-01,85
Ikimokyklinio ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2016-09-01,98
Kitas švietimo teikėjas,,,Kauno apskr.,Kauno m. sav.,2016-09-01,100
Kompetencijų vertinimo institucija,,,Kauno apskr.,Kauno m. sav.,2016-09-01,1
Mokslinių tyrimų institutas,,,Kauno apskr.,Kauno m. sav.,2016-09-01,1
Neformaliojo suaugusiųjų švietimo mokykla,,,Kauno apskr.,Kauno m. sav.,2016-09-01,11
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2016-09-01,54
Profesinio mokymo įstaiga,,,Kauno apskr.,Kauno m. sav.,2016-09-01,12
Švietimo pagalbos įstaiga,,,Kauno apskr.,Kauno m. sav.,2016-09-01,3
Aukštoji mokykla,,,Kauno apskr.,Kauno m. sav.,2017-09-01,9
Bendrojo ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2017-09-01,85
Ikimokyklinio ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2017-09-01,98
Kitas švietimo teikėjas,,,Kauno apskr.,Kauno m. sav.,2017-09-01,100
Kompetencijų vertinimo institucija,,,Kauno apskr.,Kauno m. sav.,2017-09-01,1
Mokslinių tyrimų institutas,,,Kauno apskr.,Kauno m. sav.,2017-09-01,1
Neformaliojo suaugusiųjų švietimo mokykla,,,Kauno apskr.,Kauno m. sav.,2017-09-01,11
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Kauno apskr.,Kauno m. sav.,2017-09-01,54
Profesinio mokymo įstaiga,,,Kauno apskr.,Kauno m. sav.,2017-09-01,12
Švietimo pagalbos įstaiga,,,Kauno apskr.,Kauno m. sav.,2017-09-01,3
Aukštoji mokykla,,,Kauno apskr.,Kauno r. sav.,2003-09-01,2
Bendrojo ugdymo mokykla,,,Kauno apskr.,Kauno r. sav.,2003-09-01,50
Ikimokyklinio ugdymo mokykla,,,Kauno apskr.,Kauno r. sav.,2003-09-01,-
Kitas švietimo teikėjas,,,Kauno apskr.,Kauno r. sav.,2003-09-01,-
Kompetencijų vertinimo institucija,,,Kauno apskr.,Kauno r. sav.,2003-09-01,-
Mokslinių tyrimų institutas,,,Kauno apskr.,Kauno r. sav.,2003-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Kauno apskr.,Kauno r. sav.,2003-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Kauno apskr.,Kauno r. sav.,2003-09-01,26
Profesinio mokymo įstaiga,,,Kauno apskr.,Kauno r. sav.,2003-09-01,1
Švietimo pagalbos įstaiga,,,Kauno apskr.,Kauno r. sav.,2003-09-01,-
Aukštoji mokykla,,,Kauno apskr.,Kauno r. sav.,2004-09-01,2
Bendrojo ugdymo mokykla,,,Kauno apskr.,Kauno r. sav.,2004-09-01,51
Ikimokyklinio ugdymo mokykla,,,Kauno apskr.,Kauno r. sav.,2004-09-01,-
Kitas švietimo teikėjas,,,Kauno apskr.,Kauno r. sav.,2004-09-01,-
Kompetencijų vertinimo institucija,,,Kauno apskr.,Kauno r. sav.,2004-09-01,-
Mokslinių tyrimų institutas,,,Kauno apskr.,Kauno r. sav.,2004-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Kauno apskr.,Kauno r. sav.,2004-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Kauno apskr.,Kauno r. sav.,2004-09-01,26
Profesinio mokymo įstaiga,,,Kauno apskr.,Kauno r. sav.,2004-09-01,1
Švietimo pagalbos įstaiga,,,Kauno apskr.,Kauno r. sav.,2004-09-01,-
Aukštoji mokykla,,,Kauno apskr.,Kauno r. sav.,2005-09-01,2
Bendrojo ugdymo mokykla,,,Kauno apskr.,Kauno r. sav.,2005-09-01,38
Ikimokyklinio ugdymo mokykla,,,Kauno apskr.,Kauno r. sav.,2005-09-01,-
Kitas švietimo teikėjas,,,Kauno apskr.,Kauno r. sav.,2005-09-01,-
Kompetencijų vertinimo institucija,,,Kauno apskr.,Kauno r. sav.,2005-09-01,-
Mokslinių tyrimų institutas,,,Kauno apskr.,Kauno r. sav.,2005-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Kauno apskr.,Kauno r. sav.,2005-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Kauno apskr.,Kauno r. sav.,2005-09-01,27
Profesinio mokymo įstaiga,,,Kauno apskr.,Kauno r. sav.,2005-09-01,1
Švietimo pagalbos įstaiga,,,Kauno apskr.,Kauno r. sav.,2005-09-01,-
Aukštoji mokykla,,,Kauno apskr.,Kauno r. sav.,2006-09-01,2
Bendrojo ugdymo mokykla,,,Kauno apskr.,Kauno r. sav.,2006-09-01,33
Ikimokyklinio ugdymo mokykla,,,Kauno apskr.,Kauno r. sav.,2006-09-01,-
Kitas švietimo teikėjas,,,Kauno apskr.,Kauno r. sav.,2006-09-01,-
Kompetencijų vertinimo institucija,,,Kauno apskr.,Kauno r. sav.,2006-09-01,-
Mokslinių tyrimų institutas,,,Kauno apskr.,Kauno r. sav.,2006-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Kauno apskr.,Kauno r. sav.,2006-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Kauno apskr.,Kauno r. sav.,2006-09-01,26
Profesinio mokymo įstaiga,,,Kauno apskr.,Kauno r. sav.,2006-09-01,1
Švietimo pagalbos įstaiga,,,Kauno apskr.,Kauno r. sav.,2006-09-01,-
Aukštoji mokykla,,,Kauno apskr.,Kauno r. sav.,2007-09-01,2
Bendrojo ugdymo mokykla,,,Kauno apskr.,Kauno r. sav.,2007-09-01,33
Ikimokyklinio ugdymo mokykla,,,Kauno apskr.,Kauno r. sav.,2007-09-01,-
Kitas švietimo teikėjas,,,Kauno apskr.,Kauno r. sav.,2007-09-01,-
Kompetencijų vertinimo institucija,,,Kauno apskr.,Kauno r. sav.,2007-09-01,-
Mokslinių tyrimų institutas,,,Kauno apskr.,Kauno r. sav.,2007-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Kauno apskr.,Kauno r. sav.,2007-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Kauno apskr.,Kauno r. sav.,2007-09-01,26
Profesinio mokymo įstaiga,,,Kauno apskr.,Kauno r. sav.,2007-09-01,1
Švietimo pagalbos įstaiga,,,Kauno apskr.,Kauno r. sav.,2007-09-01,-
Aukštoji mokykla,,,Kauno apskr.,Kauno r. sav.,2008-09-01,2
Bendrojo ugdymo mokykla,,,Kauno apskr.,Kauno r. sav.,2008-09-01,33
Ikimokyklinio ugdymo mokykla,,,Kauno apskr.,Kauno r. sav.,2008-09-01,-
Kitas švietimo teikėjas,,,Kauno apskr.,Kauno r. sav.,2008-09-01,-
Kompetencijų vertinimo institucija,,,Kauno apskr.,Kauno r. sav.,2008-09-01,-
Mokslinių tyrimų institutas,,,Kauno apskr.,Kauno r. sav.,2008-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Kauno apskr.,Kauno r. sav.,2008-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Kauno apskr.,Kauno r. sav.,2008-09-01,27
Profesinio mokymo įstaiga,,,Kauno apskr.,Kauno r. sav.,2008-09-01,1
Švietimo pagalbos įstaiga,,,Kauno apskr.,Kauno r. sav.,2008-09-01,-
Aukštoji mokykla,,,Kauno apskr.,Kauno r. sav.,2009-09-01,2
Bendrojo ugdymo mokykla,,,Kauno apskr.,Kauno r. sav.,2009-09-01,33
Ikimokyklinio ugdymo mokykla,,,Kauno apskr.,Kauno r. sav.,2009-09-01,-
Kitas švietimo teikėjas,,,Kauno apskr.,Kauno r. sav.,2009-09-01,-
Kompetencijų vertinimo institucija,,,Kauno apskr.,Kauno r. sav.,2009-09-01,-
Mokslinių tyrimų institutas,,,Kauno apskr.,Kauno r. sav.,2009-09-01,-
Neformaliojo suaugusiųjų švietimo mokykla,,,Kauno apskr.,Kauno r. sav.,2009-09-01,-
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,,,Kauno apskr.,Kauno r. sav.,2009-09-01,27
Profesinio mokymo įstaiga,,,Kauno apskr.,Kauno r. sav.,2009-09-01,1
Švietimo pagalbos įstaiga,,,Kauno apskr.,Kauno r. sav.,2009-09-01,-
Aukštoji mokykla,,,Kauno apskr.,Kauno r. sav.,2010-09-01,2
Bendrojo ugdymo mokykla,,,Kauno apskr.,Kauno r. sav.,2010-09-01,33
Ikimokyklinio ugdymo mokykla,,,Kauno apskr.,Kauno r. sav.,2010-09-01,-
