digrp_pavadinimas,data2,dinst_id4,apskritis1,savivaldybe,data1,dinst_id5
Neformaliojo suaugusiųjų švietimo mokykla,2011-09-01,5,,,,
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,2011-09-01,545,,,,
Profesinio mokymo įstaiga,2011-09-01,86,,,,
Švietimo pagalbos įstaiga,2011-09-01,87,,,,
Aukštoji mokykla,2012-09-01,47,,,,
Bendrojo ugdymo mokykla,2012-09-01,1232,,,,
Ikimokyklinio ugdymo mokykla,2012-09-01,663,,,,
Kitas švietimo teikėjas,2012-09-01,86,,,,
Kompetencijų vertinimo institucija,2012-09-01,-,,,,
Mokslinių tyrimų institutas,2012-09-01,19,,,,
Neformaliojo suaugusiųjų švietimo mokykla,2012-09-01,45,,,,
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,2012-09-01,288,,,,
Profesinio mokymo įstaiga,2012-09-01,88,,,,
Švietimo pagalbos įstaiga,2012-09-01,79,,,,
Aukštoji mokykla,2013-09-01,47,,,,
Bendrojo ugdymo mokykla,2013-09-01,1207,,,,
Ikimokyklinio ugdymo mokykla,2013-09-01,684,,,,
Kitas švietimo teikėjas,2013-09-01,291,,,,
Kompetencijų vertinimo institucija,2013-09-01,9,,,,
Mokslinių tyrimų institutas,2013-09-01,21,,,,
Neformaliojo suaugusiųjų švietimo mokykla,2013-09-01,67,,,,
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,2013-09-01,300,,,,
Profesinio mokymo įstaiga,2013-09-01,90,,,,
Švietimo pagalbos įstaiga,2013-09-01,81,,,,
Aukštoji mokykla,2014-09-01,47,,,,
Bendrojo ugdymo mokykla,2014-09-01,1183,,,,
Ikimokyklinio ugdymo mokykla,2014-09-01,692,,,,
Kitas švietimo teikėjas,2014-09-01,333,,,,
Kompetencijų vertinimo institucija,2014-09-01,10,,,,
Mokslinių tyrimų institutas,2014-09-01,20,,,,
Neformaliojo suaugusiųjų švietimo mokykla,2014-09-01,68,,,,
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,2014-09-01,306,,,,
Profesinio mokymo įstaiga,2014-09-01,90,,,,
Švietimo pagalbos įstaiga,2014-09-01,81,,,,
Aukštoji mokykla,2015-09-01,45,,,,
Bendrojo ugdymo mokykla,2015-09-01,1163,,,,
Ikimokyklinio ugdymo mokykla,2015-09-01,727,,,,
Kitas švietimo teikėjas,2015-09-01,454,,,,
Kompetencijų vertinimo institucija,2015-09-01,10,,,,
Mokslinių tyrimų institutas,2015-09-01,22,,,,
Neformaliojo suaugusiųjų švietimo mokykla,2015-09-01,76,,,,
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,2015-09-01,324,,,,
Profesinio mokymo įstaiga,2015-09-01,90,,,,
Švietimo pagalbos įstaiga,2015-09-01,81,,,,
Aukštoji mokykla,2016-09-01,45,,,,
Bendrojo ugdymo mokykla,2016-09-01,1189,,,,
Ikimokyklinio ugdymo mokykla,2016-09-01,742,,,,
Kitas švietimo teikėjas,2016-09-01,1026,,,,
Kompetencijų vertinimo institucija,2016-09-01,10,,,,
Mokslinių tyrimų institutas,2016-09-01,22,,,,
Neformaliojo suaugusiųjų švietimo mokykla,2016-09-01,89,,,,
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,2016-09-01,367,,,,
Profesinio mokymo įstaiga,2016-09-01,90,,,,
Švietimo pagalbos įstaiga,2016-09-01,81,,,,
Aukštoji mokykla,2017-09-01,45,,,,
Bendrojo ugdymo mokykla,2017-09-01,1189,,,,
Ikimokyklinio ugdymo mokykla,2017-09-01,742,,,,
Kitas švietimo teikėjas,2017-09-01,1026,,,,
Kompetencijų vertinimo institucija,2017-09-01,10,,,,
Mokslinių tyrimų institutas,2017-09-01,22,,,,
Neformaliojo suaugusiųjų švietimo mokykla,2017-09-01,89,,,,
Neformaliojo vaikų švietimo mokykla ir formalųjį švietimą papildančio ugdymo mokykla,2017-09-01,367,,,,
Profesinio mokymo įstaiga,2017-09-01,90,,,,
Švietimo pagalbos įstaiga,2017-09-01,81,,,,
Aukštoji mokykla,,,Alytaus apskr.,Alytaus m. sav.,2003-09-01,1
Bendrojo ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2003-09-01,16
Ikimokyklinio ugdymo mokykla,,,Alytaus apskr.,Alytaus m. sav.,2003-09-01,-
Kitas švietimo teikėjas,,,Alytaus apskr.,Alytaus m. sav.,2003-09-01,-
Kompetencijų vertinimo institucija,,,Alytaus apskr.,Alytaus m. sav.,2003-09-01,-
